Date,Name,Year,Letterboxd URI,Rating
2022-07-23,Luca,2021,https://boxd.it/ipjC,5
2022-07-23,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2022-07-23,The Shape of Water,2017,https://boxd.it/dZ5m,4.5
2022-07-23,Return of the Jedi,1983,https://boxd.it/27Vm,4
2022-07-23,Amend: The Fight for America,2021,https://boxd.it/u36g,4
2022-07-23,Star Wars: Visions – The Twins,2021,https://boxd.it/x5bI,4
2022-07-23,Parasyte -the maxim-,2014,https://boxd.it/pDn8,4
2022-07-23,Us Again,2021,https://boxd.it/thCe,4
2022-07-23,Far from the Tree,2021,https://boxd.it/vmgc,4
2022-07-23,Geri's Game,1997,https://boxd.it/1P6U,4
2022-07-23,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,4.5
2022-07-23,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,4
2022-07-23,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4.5
2022-07-23,Black Panther,2018,https://boxd.it/8MHs,4
2022-07-23,Fireworks,2017,https://boxd.it/fjvm,0.5
2022-07-23,"Love, Death & Robots: Swarm",2022,https://boxd.it/AW84,2.5
2022-07-23,"Love, Death & Robots: In Vaulted Halls Entombed",2022,https://boxd.it/AW7A,2.5
2022-07-23,"Love, Death & Robots: Kill Team Kill",2022,https://boxd.it/AW6M,2.5
2022-07-23,"Love, Death & Robots: Mason's Rats",2022,https://boxd.it/AW76,2.5
2022-07-23,"Love, Death & Robots: Life Hutch",2021,https://boxd.it/vdRe,2
2022-07-23,The Master of Disguise,2002,https://boxd.it/1Pai,2
2022-07-23,"Love, Death & Robots: Blindspot",2019,https://boxd.it/lJH6,2.5
2022-07-23,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/vhLO,2
2022-07-23,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/vdQU,3
2022-07-23,"Love, Death & Robots: Lucky 13",2019,https://boxd.it/lJGC,1.5
2022-07-23,"Love, Death & Robots: The Dump",2019,https://boxd.it/lJGi,1.5
2022-07-23,"Love, Death & Robots: The Drowned Giant",2021,https://boxd.it/vdRo,3
2022-07-23,"Love, Death & Robots: All Through the House",2021,https://boxd.it/vhXA,3
2022-07-23,"Love, Death & Robots: Ice",2021,https://boxd.it/vhLu,3
2022-07-23,"Love, Death & Robots: Automated Customer Service",2021,https://boxd.it/vhLk,1
2022-07-23,"Love, Death & Robots: Shape-Shifters",2019,https://boxd.it/lJFY,1
2022-07-23,"Love, Death & Robots: Fish Night",2019,https://boxd.it/lJGs,1.5
2022-07-23,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,3.5
2022-07-23,"Love, Death & Robots: The Secret War",2019,https://boxd.it/lN0g,3
2022-07-23,"Love, Death & Robots: Sucker of Souls",2019,https://boxd.it/lFOW,1
2022-07-23,"Love, Death & Robots: Ice Age",2019,https://boxd.it/lJG8,1.5
2022-07-23,"Love, Death & Robots: Good Hunting",2019,https://boxd.it/lJFO,3.5
2022-07-23,"Love, Death & Robots: Jibaro",2022,https://boxd.it/EqO6,4
2022-07-23,"Love, Death & Robots: Beyond the Aquila Rift",2019,https://boxd.it/lGTe,3.5
2022-07-23,"Love, Death & Robots: When the Yogurt Took Over",2019,https://boxd.it/lFSY,3.5
2022-07-23,What to Expect When You're Expecting,2012,https://boxd.it/2DEM,4
2022-07-23,Wish Dragon,2021,https://boxd.it/k6w2,3
2022-07-23,"Love, Death & Robots: Sonnie's Edge",2019,https://boxd.it/lECg,4
2022-07-23,"Love, Death & Robots: Three Robots",2019,https://boxd.it/lECK,3
2022-07-23,"Love, Death & Robots: The Witness",2019,https://boxd.it/lFO8,3.5
2022-07-23,Arthur Christmas,2011,https://boxd.it/Cg6,4.5
2022-07-23,Muppets Most Wanted,2014,https://boxd.it/4Cti,4
2022-07-23,21 Bridges,2019,https://boxd.it/juea,3
2022-07-23,While You Were Sleeping,1995,https://boxd.it/27wm,3.5
2022-07-23,Leap Year,2010,https://boxd.it/1wdC,2.5
2022-07-23,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,3.5
2022-07-23,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,3.5
2022-07-23,ParaNorman,2012,https://boxd.it/2FuY,4
2022-07-23,Fast & Furious,2009,https://boxd.it/1Pnm,2.5
2022-07-23,Black Mirror: Playtest,2016,https://boxd.it/hRR6,3.5
2022-07-23,Baby Driver,2017,https://boxd.it/bhF2,4.5
2022-07-23,A Goofy Movie,1995,https://boxd.it/1Lwu,3.5
2022-07-23,Last Christmas,2019,https://boxd.it/k38G,4
2022-07-23,Under the Banner of Heaven,2022,https://boxd.it/zMlA,4.5
2022-07-23,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2022-07-23,"Love, Death & Robots: Helping Hand",2019,https://boxd.it/lJGW,3.5
2022-07-23,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2022-07-23,The Avengers,2012,https://boxd.it/1xFW,3
2022-07-23,Tenet,2020,https://boxd.it/leq4,3.5
2022-07-23,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2022-07-23,Toy Story,1995,https://boxd.it/29qA,4
2022-07-23,The Incredibles,2004,https://boxd.it/1XLm,4
2022-07-23,Captain Marvel,2019,https://boxd.it/9vSA,4
2022-07-23,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,2.5
2022-07-23,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2022-07-23,Finding Nemo,2003,https://boxd.it/72i,4
2022-07-23,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2022-07-23,The Lion King,1994,https://boxd.it/201Q,4
